what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1300788022046
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1300788051421
executed,command,org.tigris.subversion.subclipse.ui,1.6.6,"org.tigris.subversion.subclipse.ui.branchtag",1300788051437
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1300788056265
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1300788058593
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1300788058609
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1300788058656
activated,perspective,org.tigris.subversion.subclipse.ui,1.6.6,"org.tigris.subversion.subclipse.ui.svnPerspective",1300788063640
activated,view,org.tigris.subversion.subclipse.ui,1.6.6,"org.tigris.subversion.subclipse.ui.repository.RepositoriesView",1300788063640
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1300788066984
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.paste",1300788067968
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1300788072968
activated,perspective,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.JavaPerspective",1300788093421
activated,view,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.PackageExplorer",1300788093437
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1300788098500
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1300788127218
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1300788129109
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1300788198562
closed,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1300788200875
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.exit",1300788201046
stopped,bundle,org.eclipse.jst.ws.axis.creation.ui,1.0.406.v200903031852,"org.eclipse.jst.ws.axis.creation.ui",1300788201125
stopped,bundle,org.eclipse.jst.ws.axis.consumption.ui,1.0.405.v200901261650,"org.eclipse.jst.ws.axis.consumption.ui",1300788201125
stopped,bundle,org.eclipse.jst.ws.axis.consumption.core,1.0.306.v200810082309,"org.eclipse.jst.ws.axis.consumption.core",1300788201125
stopped,bundle,org.eclipse.jst.ws.axis2.creation.ui,1.0.103.v200807162242,"org.eclipse.jst.ws.axis2.creation.ui",1300788201125
stopped,bundle,org.eclipse.jst.ws.axis2.consumption.ui,1.0.102.v200807232000,"org.eclipse.jst.ws.axis2.consumption.ui",1300788201125
