what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.bugzilla.core,3.3.1.v20091215-0000-e3x,"org.eclipse.mylyn.bugzilla.core",1300787645359
started,bundle,org.eclipse.mylyn.commons.net,3.3.0.v20091013-0200-e3x,"org.eclipse.mylyn.commons.net",1300787645359
started,bundle,org.eclipse.mylyn.commons.ui,3.3.1.v20091215-0000-e3x,"org.eclipse.mylyn.commons.ui",1300787645359
started,bundle,org.eclipse.mylyn.monitor.ui,3.3.1.v20091215-0000-e3x,"org.eclipse.mylyn.monitor.ui",1300787645359
started,bundle,org.tigris.subversion.clientadapter,1.6.6,"org.tigris.subversion.clientadapter",1300787645359
started,bundle,org.tigris.subversion.subclipse.core,1.6.6,"org.tigris.subversion.subclipse.core",1300787645359
started,bundle,org.tigris.subversion.subclipse.ui,1.6.6,"org.tigris.subversion.subclipse.ui",1300787645359
os,sysinfo,,,"win32",1300787645359
arch,sysinfo,,,"x86",1300787645359
ws,sysinfo,,,"win32",1300787645359
locale,sysinfo,,,"et_EE",1300787645359
processors,sysinfo,,,"4",1300787645359
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1300787645359
java.runtime.version,sysinfo,,,"1.6.0_18-b07",1300787645359
java.specification.name,sysinfo,,,"Java Platform API Specification",1300787645359
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1300787645359
java.specification.version,sysinfo,,,"1.6",1300787645359
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1300787645359
java.version,sysinfo,,,"1.6.0_18",1300787645359
java.vm.info,sysinfo,,,"mixed mode, sharing",1300787645359
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1300787645359
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1300787645359
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1300787645359
java.vm.specification.version,sysinfo,,,"1.0",1300787645359
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1300787645359
